threshold,f1_no_regex,asr_no_regex,frr_no_regex,score_no_regex,f1_regex,asr_regex,frr_regex,score_regex
0.15,0.9587,0.0139,0.0337,0.97392,0.9485,0.0139,0.0337,0.97086
0.2,0.9586,0.0144,0.0329,0.9738,0.9484,0.0144,0.0329,0.97074
0.25,0.9586,0.015,0.0329,0.9735,0.9484,0.015,0.0329,0.97044
0.3,0.9586,0.015,0.0329,0.9735,0.9484,0.015,0.0329,0.97044
0.35,0.9582,0.015,0.032,0.97356,0.948,0.015,0.032,0.9705
0.4,0.9582,0.0156,0.032,0.97326,0.948,0.0156,0.032,0.9702
0.45,0.9582,0.0156,0.032,0.97326,0.948,0.0156,0.032,0.9702
0.5,0.9582,0.0156,0.032,0.97326,0.948,0.0156,0.032,0.9702
0.55,0.958,0.0161,0.032,0.97295,0.9478,0.0161,0.032,0.96989
0.6,0.9582,0.0161,0.0312,0.97317,0.948,0.0161,0.0312,0.97011
0.65,0.9582,0.0167,0.0312,0.97287,0.948,0.0167,0.0312,0.96981
0.7,0.9582,0.0167,0.0312,0.97287,0.948,0.0167,0.0312,0.96981
0.75,0.9576,0.0167,0.0312,0.97269,0.9474,0.0167,0.0312,0.96963
0.8,0.9579,0.0167,0.0312,0.97278,0.9477,0.0167,0.0312,0.96972
0.85,0.9579,0.0167,0.0312,0.97278,0.9477,0.0167,0.0312,0.96972
