MAX_LENGTH,BATCH_SIZE,LEARNING_RATE,WEIGHT_DECAY,WARMUP_RATIO,DROPOUT,GRADIENT_CLIP,EPOCHS,EARLY_STOPPING_PATIENCE,LABEL_SMOOTHING,W_F1,W_ASR,W_FRR,trial,val_f1,val_asr,val_frr,score
512,4,5e-05,0.05,0.05,0.1,0.5,3,2,0.2,0.3,0.5,0.2,1,0.9361,0.0356,0.0493,0.95317
512,4,1e-05,0.1,0.05,0.3,0.5,5,2,0.1,0.3,0.5,0.2,2,0.9467,0.0206,0.0427,0.96517
512,4,3e-05,0.01,0.05,0.2,0.5,3,3,0.0,0.3,0.5,0.2,3,0.9495,0.0167,0.0452,0.96746
512,4,5e-05,0.01,0.1,0.1,1.0,5,2,0.2,0.3,0.5,0.2,4,0.9426,0.0272,0.0452,0.96014
512,4,1e-05,0.01,0.1,0.2,1.0,5,2,0.1,0.3,0.5,0.2,5,0.9476,0.0289,0.0304,0.96375
512,4,5e-05,0.1,0.05,0.1,1.0,5,3,0.2,0.3,0.5,0.2,6,0.9382,0.0244,0.0534,0.95858
512,4,3e-05,0.05,0.1,0.1,0.5,5,2,0.2,0.3,0.5,0.2,7,0.9497,0.0211,0.0419,0.96598
512,4,1e-05,0.01,0.1,0.3,1.0,5,3,0.0,0.3,0.5,0.2,8,0.9478,0.0261,0.0329,0.96471
512,4,1e-05,0.1,0.05,0.3,1.0,3,3,0.1,0.3,0.5,0.2,9,0.9465,0.0283,0.0312,0.96356
512,4,5e-05,0.05,0.05,0.2,1.0,3,3,0.0,0.3,0.5,0.2,10,0.9437,0.0233,0.0444,0.96258
